text,label
"The invoice generator crashes every time I try to create a bill for a client which means I literally cannot charge anyone right now.","bug"
"I would have been charged less if your discount code field wasn't hidden behind a collapsed menu that I didn't even know existed until after payment processed.","billing"
"Why is there no way to undo a deletion when your own system accidentally bulk-deleted 3 years of my project files during what was supposed to be a routine sync?","bug"
"I'm not asking for a refund but I genuinely don't understand why my usage-based bill jumped from $23 to $847 when my traffic actually decreased this month.","billing"
"The 'export to PDF' button technically works but produces a completely blank document so I'm not sure if this is a bug or if I'm missing a required setting somewhere.","bug"
"Your pricing page says $10/month but the checkout page showed $12/month and I only noticed after seeing my bank statement reflect the higher amount.","billing"
"I can't tell if the two-hour sync delay is intentional behavior or a performance issue but either way it makes the real-time collaboration feature completely useless for our team.","bug"
"The payment failed error message told me to contact my bank but my bank says they never even received an authorization request from your payment processor.","bug"
"Would it technically be possible to add a feature that lets us dispute charges directly in the app instead of having to email support and wait 5 business days?","feature_request"
"My account shows I'm on the free tier but I'm being charged $29/month and when I try to upgrade to actually get premium features the system says I'm already subscribed.","billing"
"The mobile app works perfectly but the exact same account on the web version shows all my data as corrupted Chinese characters.","bug"
"I think I was double-charged but I'm not 100% sure because one charge says 'pending' and the other says 'completed' but they're for the same amount on the same day.","billing"
"Is there a reason the API rate limit applies to failed authentication attempts because I'm being locked out before I can even successfully connect.","bug"
"We need the ability to set negative quantities in inventory because we operate on a backorder model and your system treating zero as a floor is breaking our entire workflow.","feature_request"
"My teammates can see a 'analytics' tab that I cannot see anywhere in my interface even though we supposedly have identical permissions and subscription levels.","bug"
"The student discount was approved according to the email I received but my account still reflects full pricing and I've already been charged twice at the non-discounted rate.","billing"
"Why does the 'remember me' checkbox exist if the session expires after exactly 15 minutes regardless of whether it's checked or not?","bug"
"I called to cancel before the renewal date and the representative confirmed it verbally but I have no written proof and now you're saying the call never happened.","billing"
"It would be helpful if error messages contained actual information instead of just saying 'Something went wrong' with a generic error code that returns zero Google results.","feature_request"
"The chart visualization shows my revenue as negative $40,000 which is either a massive bug or your system knows something about my business that I don't.","bug"
"I explicitly selected the monthly plan but was enrolled in annual billing and now you're telling me the annual commitment is non-refundable even though I never agreed to it.","billing"
"Can we get read receipts for shared documents so I can stop having meetings where people claim they didn't see the materials I sent three weeks ago?","feature_request"
"The forgot password flow sends a reset link that expires before the email even arrives in my inbox making it impossible to recover my account.","bug"
"My nonprofit tax-exempt status was verified last year but I'm suddenly being charged sales tax again and nobody can tell me what changed.","billing"
"Please add a way to archive projects without deleting them because right now my only options are keeping clutter or losing data permanently.","feature_request"
"The file upload succeeds according to the progress bar and confirmation message but the file literally does not exist when I go to access it.","bug"
"I have two separate accounts that are somehow being billed to the same payment method and now I can't update the card on one without affecting the other.","billing"
"Would it be unreasonable to expect the search function to find results that contain my search terms instead of seemingly random unrelated content?","bug"
"The 7-day free trial apparently started when I created an account six months ago even though I never activated or used the trial until today.","billing"
"We need conditional logic in forms because right now I have to show 47 irrelevant fields to every user instead of just the 3-5 that apply to their situation.","feature_request"
"Clicking 'save draft' actually publishes the content publicly which is the exact opposite of what that button should do.","bug"
"The enterprise contract clearly states $500/month but invoices have been $650/month for the past year and apparently nobody noticed until our new accountant flagged it.","billing"
"Please let us customize the dashboard layout because the current default wastes 80% of screen space on widgets nobody on our team has ever clicked.","feature_request"
"The automated backup completed successfully according to the logs but attempting to restore from it produces a file that's 94% smaller than the original.","bug"
"I understand there's a currency conversion fee but a 23% markup on top of the exchange rate seems less like a fee and more like a surcharge you forgot to disclose.","billing"
"It would save everyone time if the system could auto-detect duplicate entries instead of letting us create seventeen versions of the same contact.","feature_request"
"The logout button doesn't actually log me out—it just redirects to the homepage where I'm still fully authenticated with all my data visible.","bug"
"My invoice shows charges for 15 team seats but we only have 6 employees and I never authorized adding seats that don't correspond to actual human beings.","billing"
"Why isn't there a way to bulk edit tags when you clearly designed a system that encourages tagging everything and now I have 10,000 items to update manually?","feature_request"
"The timestamp on every record is exactly 7 hours in the future which makes our audit trail look like we're submitting compliance documents before meetings even happen.","bug"
"Charging my card in a currency I didn't select and then adding a conversion fee on top of the unfavorable exchange rate feels like I'm being billed for your system's limitations.","billing"
"A simple 'select all' checkbox would prevent the carpal tunnel I'm developing from individually clicking 500 items every time I need to perform a batch operation.","feature_request"
"The permission settings I configured are being randomly reset to defaults overnight which means confidential client files keep becoming visible to our entire organization.","bug"
"I'm being charged the legacy pricing that was supposedly grandfathered in but at the new higher rate which is somehow both grandfathered and not grandfathered simultaneously.","billing"
"Please add keyboard shortcuts because using this application with only a mouse is like being forced to type with one finger when you know how to touch-type.","feature_request"
"The 'delete my account' button triggers a workflow that sends me promotional emails about features I'd lose instead of actually deleting anything.","bug"
"The refund was processed according to your support team but it's been 47 business days and neither my bank nor your billing portal show any record of it.","billing"
"An offline mode seems like a basic expectation for a mobile app in 2024 rather than the premium feature you're apparently planning to charge extra for.","feature_request"
"Every PDF I export has my confidential watermark on the first page but not pages 2-47 which completely defeats the purpose of having confidential watermarks.","bug"
"I was charged a 'service restoration fee' to restore service that was interrupted because your payment system rejected a valid card for no stated reason.","billing"
"The ability to comment on specific cells in a spreadsheet instead of the entire document would make collaborative review actually collaborative instead of chaotic.","feature_request"
"Pasting content from any external source strips all formatting which I understand but it also strips the actual text leaving me with an empty clipboard.","bug"
"My annual subscription apparently auto-renewed 6 weeks before the actual renewal date and customer service says this is intentional but won't explain why.","billing"
"Version history is useless if it only stores the last 3 versions when our compliance requirements mandate 7 years of document revision tracking.","feature_request"
"The accessibility screen reader announces every button as 'button' without any label which means blind users have to click randomly and hope for the best.","bug"
"The family plan pricing shows $14.99 for up to 6 users but adding a 4th user triggered a charge for $44.97 as if each user costs the full amount.","billing"
"Being able to set different notification preferences for different projects would prevent me from being woken up at 3am for low-priority updates I don't care about.","feature_request"
"The browser back button doesn't go back to the previous page—it goes back to a blank loading screen that requires a full refresh to escape from.","bug"
"My subscription shows as 'active' in my account dashboard but as 'expired' in the billing portal and I'm simultaneously being denied access and charged monthly.","billing"
"A simple integration with calendar apps would eliminate the manual process of copying event details between three different platforms that should obviously talk to each other.","feature_request"
"The image compression algorithm makes every photo look like it was taken through a screen door even when I upload at maximum quality settings.","bug"
"The pricing tier I selected explicitly advertised 'unlimited storage' but I'm now being told there's a 'fair use policy' cap that was mentioned nowhere during checkout.","billing"
"Custom fields would allow us to track the data that actually matters to our business instead of forcing our workflow into your predetermined categories.","feature_request"
"Sorting by date puts December 2023 before December 2022 which suggests someone implemented alphabetical sorting on date strings and called it a day.","bug"
"The tax amount on my invoice is calculated on the total after discount but I'm being charged tax on the pre-discount amount which is a $47 difference.","billing"
"Email notifications that include the actual content of the message would save me from clicking through to the app 50 times a day just to read one sentence.","feature_request"
"The 'required field' validation triggers after I've already submitted the form rather than before which means I lose all my other inputs and have to start over.","bug"
"I cancelled during the 30-day money-back guarantee window and was told I don't qualify because the guarantee only applies to new customers and I had a trial 2 years ago.","billing"
"Exporting data in a standard format like CSV shouldn't require a premium subscription when you're essentially holding my own data hostage.","feature_request"
"The single sign-on integration works for initial login but immediately creates a duplicate local account that conflicts with my SSO identity.","bug"
"My receipt shows a billing address in Texas but I live in Oregon and have never entered a Texas address anywhere which makes me question what else is wrong.","billing"
"A way to preview changes before publishing would prevent the daily panic of realizing I just pushed something broken to 50,000 users.","feature_request"
"The 'unsaved changes' warning appears even when I haven't made any changes and doesn't appear when I have made changes that are about to be lost.","bug"
"The promotional pricing required entering a credit card 'just for verification' and then charged me immediately despite promising no charge until the trial ended.","billing"
"Allowing users to set their own default values would save me from changing the same 12 settings manually every single time I create a new project.","feature_request"
"Copy and paste works within the application but pasting anything into an external program produces corrupted binary data instead of the text I copied.","bug"
"I'm being charged in a currency that doesn't match my account settings or my card's currency or my country of residence and nobody can explain why.","billing"
"A proper templating system would replace the 47 identical documents I've created with one reusable template and variable fields.","feature_request"
"The mobile app requires camera permissions to function at all even for features that have absolutely nothing to do with the camera.","bug"
"The usage meter shows I've used 150% of my allocation but won't tell me what specifically consumed that usage or how to avoid it next month.","billing"
"Custom report scheduling would let me automate the Monday morning export I've done manually every week for the past three years.","feature_request"
"Scrolling down the page causes the header to flicker and redraw constantly which is either a rendering bug or an aggressive attempt to give users seizures.","bug"
"I paid for a lifetime license 4 years ago and you've now transitioned to subscription-only and are telling me my lifetime license expires next month.","billing"
"Being able to rename the default categories would prevent the confusion of having to explain to every new team member that 'Miscellaneous' actually means 'Urgent'.","feature_request"
"The drag-and-drop functionality works perfectly until you drag something near the edge of the visible area where it teleports to a random location.","bug"
"You charged me a 'early termination fee' for cancelling a month-to-month subscription that had no contract and no mention of termination fees anywhere.","billing"
"Two-way sync with external databases would eliminate the 4-hour daily process of manually reconciling records between systems.","feature_request"
"The character counter shows 0/500 characters remaining but rejects my input at 423 characters claiming I've exceeded the limit.","bug"
"My card was declined for 'security reasons' but your system kept retrying every hour for 6 days and eventually processed 7 duplicate charges when my limit reset.","billing"
"The ability to @mention specific people in comments would prevent the current system of hoping the right person happens to notice a reply buried in a thread.","feature_request"
"The 'compact view' option actually makes everything larger and the 'expanded view' makes everything smaller which suggests the labels got swapped during development.","bug"
"I signed up under a promotional partner discount that your billing system doesn't recognize even though your sales team was the one who sent me the signup link.","billing"
"Saved filters would eliminate the daily ritual of re-entering the same 8 filter criteria that I use for every single search.","feature_request"
"Clicking any link in the mobile app opens an in-app browser that can't access my password manager which makes every link effectively unusable.","bug"
"The invoice date is three weeks after the charge date and the due date is two weeks before the charge date which makes the timeline physically impossible.","billing"
"A proper sandbox environment would let us test configurations without the current workaround of maintaining a separate paid account purely for testing.","feature_request"
"The auto-save feature creates a new version every 3 seconds which burns through version history limits and makes finding actual meaningful changes impossible.","bug"
"You increased my rate mid-contract citing 'market adjustments' but the contract I signed specifically says the rate is fixed for the 24-month term.","billing"
"Native markdown support would remove the need for the browser extension I built myself because the WYSIWYG editor mangles formatting constantly.","feature_request"
"The date picker only allows selecting dates from a calendar that starts in January 2020 which is problematic for the historical records I need to enter from 2019.","bug"
"My invoice contains a line item called 'Adjustment' with no description and a charge of $234.67 that nobody in support can explain or justify.","billing"
"A true mobile-responsive design would mean I don't have to pinch-zoom and scroll horizontally on every single page just to see the full content.","feature_request"
"The spell-check feature flags every technical term as misspelled but offers no way to add words to a custom dictionary so every document is a sea of red squiggles.","bug"
"The 'pause subscription' option charged me a $15 'pause fee' that wasn't mentioned anywhere in the modal that I clicked to avoid being charged.","billing"
"Webhook support for real-time event notifications would replace the inefficient polling system that hammers your API every 30 seconds from 10,000 of our devices.","feature_request"
"I’m trying to finish my payment but the page keeps failing and I don’t know why.","billing"
"My card was charged twice even though the app said the first attempt failed.","billing"
"I cancelled last week but I was charged again today.","billing"
"The discount code didn’t apply even though it said it was valid.","billing"
"I upgraded to the premium plan but the invoice shows the old price.","billing"
"Why am I suddenly being billed more this month without any explanation?","billing"
"I can’t add a new payment method because the save button never activates.","billing"
"The tax amount seems wrong and higher than what was shown earlier.","billing"
"I’m being charged for seats we don’t even use.","billing"
"My bank declined the charge but the money still disappeared from my balance.","billing"
"The subscription shows active but the payment receipt isn’t available.","billing"
"The billing portal won’t load any of my previous invoices.","billing"
"Why did my account get charged in a foreign currency?","billing"
"I paused my plan but the system still billed me.","billing"
"The annual plan renewed without any reminder and I didn’t want that.","billing"
"The checkout added a random $15 fee that isn’t explained anywhere.","billing"
"I can’t complete the payment because the card form doesn’t accept my CVV.","billing"
"The payment keeps failing with no error message.","billing"
"I was expecting a refund but it hasn’t appeared even after five days.","billing"
"My subscription shows expired but I was still charged.","billing"
"I got billed for an add-on that I never activated.","billing"
"The app keeps saying the card is invalid but it works everywhere else.","billing"
"I need to download my invoices but nothing appears.","billing"
"The charge on my card doesn’t match the price on the site.","billing"
"I subscribed once but I see two different charges for the same plan.","billing"
"Why is my usage bill higher when my usage actually dropped this month?","billing"
"The payment confirmation page froze and I don’t know if it went through.","billing"
"I can’t remove my old payment method because it keeps giving an error.","billing"
"My receipt shows tax even though I’m supposed to be tax-exempt.","billing"
"The billing history shows an amount I never authorized.","billing"
"I tried paying four times and every attempt failed.","billing"
"I didn’t get the student discount even after uploading my documents.","billing"
"The system is charging me biweekly instead of monthly.","billing"
"The app crashes every time I try to open the settings page.","bug"
"I can’t log in even after resetting my password twice.","bug"
"Search results are completely unrelated to what I typed.","bug"
"My changes disappear the moment I refresh the page.","bug"
"The attachment upload gets stuck at 99% forever.","bug"
"The dashboard freezes whenever I click on analytics.","bug"
"I can’t download any files even though I have permission.","bug"
"The mobile app logs me out randomly throughout the day.","bug"
"The reset password email link is always expired by the time I receive it.","bug"
"My notifications never show up until hours later.","bug"
"The form validation triggers even when all fields are filled.","bug"
"Dark mode keeps turning off on its own.","bug"
"The app shows duplicate entries I didn’t create.","bug"
"I can’t delete comments because the delete button doesn’t respond.","bug"
"Sorting by date puts 2024 entries before 2022 ones.","bug"
"The PDF export creates a blank file.","bug"
"The audio playback starts automatically without me pressing play.","bug"
"The app keeps switching me to another account without logging out.","bug"
"The filter keeps resetting every time I navigate to another page.","bug"
"The share link opens a 404 error page.","bug"
"The file preview shows corrupted symbols instead of text.","bug"
"I can’t change my profile picture because the upload fails.","bug"
"The UI flickers each time I scroll down.","bug"
"Search returns an error code instead of results.","bug"
"The app keeps asking me to update even though I'm on the latest version.","bug"
"The video player controls disappear randomly.","bug"
"I’m seeing a blank white screen after logging in.","bug"
"The save draft button publishes immediately instead of saving.","bug"
"The app shows I’m offline even when my internet is fine.","bug"
"I can't open messages because the chat freezes instantly.","bug"
"My session expires immediately after logging in.","bug"
"Clicking back takes me to a blank screen instead of the previous page.","bug"
"The notification counter stays at 1 even when everything is read.","bug"
"Could you add a dark mode schedule option so it turns on automatically?","feature_request"
"I’d love a way to pin important items at the top of my dashboard.","feature_request"
"Can we get keyboard shortcuts for faster navigation?","feature_request"
"It would be helpful to have custom roles with specific permissions.","feature_request"
"Please add a feature to duplicate entire projects.","feature_request"
"Can the app automatically detect duplicate contacts?","feature_request"
"I wish we had a way to archive items without deleting them.","feature_request"
"Would it be possible to add a built-in calendar view?","feature_request"
"Please add multi-language support to the interface.","feature_request"
"Can you allow exporting reports directly to Google Drive?","feature_request"
"We need a way to bulk edit tags for multiple entries.","feature_request"
"Is it possible to add filters to the notifications tab?","feature_request"
"I’d love an option to customize dashboard widgets.","feature_request"
"Could you add an offline mode for the mobile app?","feature_request"
"Adding a search inside settings would make things easier.","feature_request"
"We need an option to preview changes before publishing.","feature_request"
"Can you let users add custom fields to forms?","feature_request"
"A built-in spell check would be super useful.","feature_request"
"Please add support for biometric login.","feature_request"
"It would be great if we could set recurring reminders.","feature_request"
"Can the app remember my last selected filters?","feature_request"
"We need more themes beyond just light and dark.","feature_request"
"Could you add collaborative editing for notes?","feature_request"
"I’d like to customize notification sounds.","feature_request"
"Can you add an option to group items into folders?","feature_request"
"Would love an undo button for accidental changes.","feature_request"
"Can we get a drag-and-drop layout editor?","feature_request"
"Please add a quick-reply option in the chat.","feature_request"
"An autosave indicator would be helpful.","feature_request"
"Can we integrate this with Slack or Teams?","feature_request"
"I’d like the ability to bookmark specific pages.","feature_request"
"Could you add a template library for quicker setup?","feature_request"
"Can we get a night reading mode with softer colors?","feature_request"
"Adding a tutorial overlay for new users would help a lot.","feature_request"
"I couldn't able to pay because the payment fails every time.","billing"
"I am not able to pay at all, the system keeps rejecting it.","billing"
"I am unable to pay, no matter how many times I try.","billing"
"I can’t pay for the subscription because the payment won’t process.","billing"
"I am unable to make the payment, it just doesn’t go through.","billing"
"I tried to pay but it didn’t work, I’m still unable to pay.","billing"
"I keep trying but I’m not able to pay for my plan.","billing"
"I can’t complete the payment and I’m unable to pay.","billing"
"The payment doesn’t go through so I’m unable to pay.","billing"
"I’m not able to pay as the payment fails instantly.","billing"
"The app update is not working at all.","bug"
"After the latest update, nothing works properly.","bug"
"The update broke my dashboard view.","bug"
"The system fails every time it tries to update.","bug"
"Post-update, the app keeps freezing and is not working.","bug"
"The update button does nothing when I click it.","bug"
"Since the update, the login is not working.","bug"
"The latest update made the payment page stop working.","bug"
"The update process gets stuck and never completes.","bug"
"The new version after update is not working on my phone.","bug"
